category_id,name,supercategory
1,Actiniaria,Anemone
2,Actinernus,Anemone
3,Actiniidae,Anemone
4,Actinoscyphia,Anemone
5,Bolocera,Anemone
6,Dofleinia,Anemone
7,Hormathiidae,Anemone
8,Isosicyonis,Anemone
9,Liponema brevicorne,Anemone
10,Metridium farcimen,Anemone
11,Actinopterygii,Fish
12,Agonidae,Fish
13,Albatrossia pectoralis,Fish
14,Alepocephalus tenebrosus,Fish
15,Anarrhichthys ocellatus,Fish
16,Anoplopoma fimbria,Fish
17,Antimora microlepis,Fish
18,Bathypterois,Fish
19,Bathysaurus mollis,Fish
20,Careproctus,Fish
21,Careproctus kamikawai,Fish
22,Careproctus melanurus,Fish
23,Careproctus ovigerus,Fish
24,Cataetyx,Fish
25,Chaunacops coloratus,Fish
26,Chilara taylori,Fish
27,Coryphaenoides,Fish
28,Gobiidae,Fish
29,Icelinus,Fish
30,Icelinus filamentosus,Fish
31,Lepidion,Fish
32,Liparidae,Fish
33,Lophiiformes,Fish
34,Luciobrotula,Fish
35,Lumpenus sagitta,Fish
36,Macrouridae,Fish
37,Merluccius productus,Fish
38,Moridae,Fish
39,Myctophidae,Fish
40,Nezumia liolepis,Fish
41,Nezumia stelgidolepis,Fish
42,Ophidiidae,Fish
43,Ophiodon elongatus,Fish
44,Paralepididae,Fish
45,Paraliparis,Fish
46,Plectobranchus evides,Fish
47,Porichthys mimeticus,Fish
48,Psychrolutes phrictus,Fish
49,Psychrolutidae,Fish
50,Scorpaeniformes,Fish
51,Sebastes,Fish
52,Sebastolobus,Fish
53,Spectrunculus grandis,Fish
54,Xeneretmus,Fish
55,Zaniolepis frenata,Fish
56,Zaniolepis latipinnis,Fish
57,Anguilliformes,Eel
58,Nettastoma parviceps,Eel
59,Ophichthus frontalis,Eel
60,Synaphobranchidae,Eel
61,Eptatretus,Eel
62,Bothrocara brunneum,Eel
63,Eucryphycus californicus,Eel
64,Lycenchelys,Eel
65,Lycenchelys crotalinus,Eel
66,Lycodapus,Eel
67,Lycodes,Eel
68,Lycodes brevipes,Eel
69,Lycodes cortezianus,Eel
70,Lycodes diapterus,Eel
71,Lycodes pacificus,Eel
72,Pachycara bulbiceps,Eel
73,Zoarcidae,Eel
74,Aeolidiidae sp. 1,Gastropod
75,Akoya platinum,Gastropod
76,Bathybembix,Gastropod
77,Bathydoris aioca,Gastropod
78,Buccinidae,Gastropod
79,Caenogastropoda,Gastropod
80,Dendronotus patricki,Gastropod
81,Gastropoda,Gastropod
82,Neptunea-Buccinum Complex,Gastropod
83,Nudibranchia,Gastropod
